ebookNumber,Title,Author,Date,Language,Credits
01569,The Complete Works of Brann, the Iconoclast — Volume 12,William Cowper Brann,Unknown Date,English,Scanned by Charles Keller with OmniPage Professional OCR software donated by Caere Corporation
01570,The Moravians in Georgia, 1735-1740,Adelaide L. Fries,Unknown Date,English,Produced by A. Light, and David Widger
01571,The 1995 CIA World Factbook,United States. Central Intelligence Agency,Unknown Date,English,Produced by Dr. Gregory B. Newby
01572,The Great Big Treasury of Beatrix Potter,Beatrix Potter,Unknown Date,English,Charles Keller for Tina using OmniPage Professional OCR software donated by Caere Corporation
01573,Tales from Shakespeare,Charles Lamb,Unknown Date,English,Tokuya Matsumoto
01574,Poems of William Blake,William Blake,Unknown Date,English,Unknown Credits
01575,The Essays or Counsels, Civil and Moral,Francis Bacon,Unknown Date,English,Produced by Judith Boss, and David Widger
01576,The Project Gutenberg Web Pages,Anonymous,Unknown Date,Unknown Language,Unknown Credits
01577,The Works of Samuel Johnson, in Sixteen Volumes. Volume 04,Samuel Johnson,Unknown Date,English,Scanned by Charles Keller with OmniPage Professional OCR software donated by Caere Corporation
01578,Down with the Cities!,Tadashi Nakashima,Unknown Date,English,Unknown Credits
01579,The Poems of Sidney Lanier,Sidney Lanier,Unknown Date,English,Unknown Credits
01580,The Pickwick Papers,Charles Dickens,Unknown Date,English,Produced by Jo Churcher, and David Widger
01581,Ginx's Baby: His Birth and Other Misfortunes; a Satire,Edward Jenkins,Unknown Date,English,Produced by Charles Keller, and David Widger
01582,A Collection of Beatrix Potter Stories,Beatrix Potter,Unknown Date,English,Some of these pages were OCR'd by Charles Keller for Tina with OmniPage
01583,The Woman in White,Wilkie Collins,Unknown Date,English,Unknown Credits
01584,Our Nig; Or, Sketches from the Life of a Free Black, in a Two-story White House, North,Harriet E. Wilson,Unknown Date,English,Unknown Credits
01585,Running a Thousand Miles for Freedom,William Craft,Unknown Date,English,Unknown Credits
01586,Religio Medici, Hydriotaphia, and the Letter to a Friend,Sir Thomas Browne,Unknown Date,English,Produced by Henry Flower and Judith Boss, Omaha, Nebraska
01587,Danny's Own Story,Don Marquis,Unknown Date,English,Produced by Judith Boss, and David Widger
01588,Master Humphrey's Clock,Charles Dickens,Unknown Date,English,Transcribed from the 1914 Chapman & Hall edition of “The Mystery of Edwin Drood and Master Humphrey’s Clock” by David Price
01589,Catriona,Robert Louis Stevenson,Unknown Date,English,David Price
01590,Robert Louis Stevenson: A Record, an Estimate, and a Memorial,Alexander H. Japp,Unknown Date,English,Transcribed from the Charles Scribner's Sons 1905 edition by David Price
01591,Flame and Shadow,Sara Teasdale,Unknown Date,English,Produced by A. Light
01592,The Chinese Nightingale, and Other Poems,Vachel Lindsay,Unknown Date,English,Produced by A. Light
01593,A Selection from the Writings of Guy De Maupassant, Vol. I,Guy de Maupassant,Unknown Date,English,Produced by Charles Keller.  HTML version by Al Haines.
01594,Twilight Stories,Unknown Author,Unknown Date,English,Produced by David Widger, and Charles Keller for Tina
01595,The Sisters' Tragedy, with Other Poems, Lyrical and Dramatic,Thomas Bailey Aldrich,Unknown Date,English,Produced by Judith Boss
01596,Rivers to the Sea,Sara Teasdale,Unknown Date,English,Produced by Judith Boss
01897,The Rose and the Ring,William Makepeace Thackeray,Unknown Date,English,Produced by Dianne Bean and David Widger
01898,The Lesson of the Master,Henry James,Unknown Date,English,Transcribed from the 1915 Martin Secker edition by David Price
01899,Wonderful Balloon Ascents; Or, The Conquest of the Skies,Fulgence Marion,Unknown Date,English,Produced by Dianne Bean, and David Widger
01901,The Jew of Malta,Christopher Marlowe,Unknown Date,English,Produced by Gary R. Young, and David Widger
01902,The Happy Prince, and Other Tales,Oscar Wilde,Unknown Date,English,David Price and Paul Redmond
01903,The White Company,Arthur Conan Doyle,Unknown Date,English,Produced by Charles Keller, Carlo Traverso, Tonya Allen, Samuel S. Johnson,
01904,Her Father's Daughter,Gene Stratton-Porter,Unknown Date,English,Dianne Bean and David Widger, updated by Robert Tonsing
01905,Within the Law: From the Play of Bayard Veiller,Marvin Dana,Unknown Date,English,Produced by Charles Keller, and David Widger
01906,Abraham Lincoln,James Russell Lowell,Unknown Date,English,Unknown Credits
01907,Flying Machines: Construction and Operation,William J. Jackman,Unknown Date,English,Produced by Charles Keller, and David Widger
01908,Treatise on Parents and Children,Bernard Shaw,Unknown Date,English,Produced by Ron Burkey, Amy Thomte and David Widger
01909,The Adventures of Col. Daniel Boon,John Filson,Unknown Date,English,Produced by John M. Krafft, and David Widger
01910,White Fang,Jack London,Unknown Date,English,Credits: David Price
01911,Tales of the Fish Patrol,Jack London,Unknown Date,English,Transcribed from the 1914 William Heinemann edition by David Price
01912,Mudfog and Other Sketches,Charles Dickens,Unknown Date,English,Transcribed from the 1903 Chapman and Hall _Sketches by Boz_ edition by David Price
01913,A Hero of Our Time,Mikhail Iurevich Lermontov,Unknown Date,English,Produced by Judith Boss, and David Widger
01914,The Uncommercial Traveller,Charles Dickens,Unknown Date,English,David Price
01915,Library Work with Children,Alice Isabel Hazeltine,Unknown Date,English,Unknown Credits
01916,Sketches of Young Couples,Charles Dickens,Unknown Date,English,Transcribed from the 1903 Chapman and Hall _Sketches by Boz_ edition by David Price
01917,Barnaby Rudge: A Tale of the Riots of 'Eighty,Charles Dickens,Unknown Date,English,Produced by Donald Lainson; David Widger
01918,Sketches of Young Gentlemen,Charles Dickens,Unknown Date,English,Transcribed from the 1903 Chapman and Hall _Sketches by Boz_ edition by David Price
01919,Ethics — Part 1,Benedictus de Spinoza,Unknown Date,English,Produced by an anonymous Project Gutenberg volunteer
01920,Ethics — Part 2,Benedictus de Spinoza,Unknown Date,English,Produced by an anonymous Project Gutenberg volunteer
01921,De Profundis,Oscar Wilde,Unknown Date,English,Transcribed from the 1913 Methuen & Co. edition by David Price. Note that later editions of De Profundis contained more material. The most complete editions are still in copyright in the U.S.A
01922,Sunday Under Three Heads,Charles Dickens,Unknown Date,English,Transcribed from the 1905 Chapman & Hall edition (_The Works of Charles Dickens_, volume 28) by David Price
01923,A Sketch of the Life of Brig. Gen. Francis Marion and a History of His Brigade,William Dobein James,Unknown Date,English,Produced by Alan R. Light, Gary Johnson, and Carolyn Lancaster
01924,To Be Read at Dusk,Charles Dickens,Unknown Date,English,Transcribed from the 1905 Chapman & Hall edition (_The Works of Charles Dickens_, volume 28) by David Price
01925,United States Presidents' Inaugural Speeches: From Washington to George W. Bush,United States. Presidents,Unknown Date,English,Produced by Several Project Gutenberg Volunteers, and David Widger
01926,Ten Thousand Dreams Interpreted; Or, What's in a Dream,Gustavus Hindman Miller,Unknown Date,English,Unknown Credits
01927,The Lamplighter,Charles Dickens,Unknown Date,English,Transcribed from the 1905 Chapman & Hall edition (_The Works of Charles Dickens_, volume 28) by David Price
01928,Alice's Adventures in Wonderland,Lewis Carroll,Unknown Date,English,Unknown Credits
01929,The Real Cyberpunk Fakebook,St. Jude,Unknown Date,English,Unknown Credits
01930,The Cook's Decameron,Mrs. W. G. Waters,Unknown Date,English,Produced by Metra Christofferson, and David Widger
01931,The Bab Ballads,W. S. Gilbert,Unknown Date,English,Transcribed from the 1920 Macmillan and Co. edition of “The Bab Ballads” (also from “Fifty Bab Ballads” 1884 George Routledge and Sons edition) by David Price
01932,The Fall of the House of Usher,Edgar Allan Poe,Unknown Date,English,Produced by Levent Kurnaz and Jose Menendez
01933,More Bab Ballads,W. S. Gilbert,Unknown Date,English,Transcribed from the 1920 Macmillan and Co edition of “The Bab Ballads”, also from “Fifty Bab Ballads” 1884 George Routledge and Sons edition by David Price
01934,Songs of a Savoyard,W. S. Gilbert,Unknown Date,English,Transcribed from the 1920 Macmillan and Co edition of “The Bab Ballads”, also from “Fifty Bab Ballads” 1884 George Routledge and Sons edition by David Price
01935,Self Help; with Illustrations of Conduct and Perseverance,Samuel Smiles,Unknown Date,English,David Price
01936,The Village Watch-Tower,Kate Douglas Smith Wiggin,Unknown Date,English,Produced by R. McGowan, E. P. McGowan, and David Widger
01937,Poems: Patriotic, Religious, Miscellaneous,Abram Joseph Ryan,Unknown Date,English,Unknown Credits
01938,Good Indian,B. M. Bower,Unknown Date,English,Produced by Ken Smidge, and David Widger
01939,The Life of Thomas Telford, Civil Engineer,Samuel Smiles,Unknown Date,English,This etext produced by Eric Hutton; additional proof reading by David G Haren and Simon Allen
01940,The Last of the Mohicans; A narrative of 1757,James Fenimore Cooper,Unknown Date,English,John Horner and David Widger
01941,Just Folks,Edgar A. Guest,Unknown Date,English,Produced by An Anonymous Volunteer, and David Widger
01942,Green Mansions: A Romance of the Tropical Forest,W. H. Hudson,Unknown Date,English,Produced by Dianne Bean, and David Widger
01943,Misalliance,Bernard Shaw,Unknown Date,English,Produced by Ron Burkey, Amy Thomte, and David Widger
01944,The Voyage of the Beagle,Charles Darwin,Unknown Date,English,John Hamm and David Widger
01945,Dust,E. Haldeman-Julius,Unknown Date,English,Produced by Charles Keller, and David Widger
01946,Lady Susan,Jane Austen,Unknown Date,English,Unknown Credits
01947,The Life of Horatio, Lord Nelson,Robert Southey,Unknown Date,English,Produced by John Hill and David Widger
01948,Ethics — Part 3,Benedictus de Spinoza,Unknown Date,English,Produced by an anonymous Project Gutenberg volunteer
01949,Tom Swift and His Submarine Boat; Or, Under the Ocean for Sunken Treasure,Victor Appleton,Unknown Date,English,Produced by Anthony Matonac
01950,Tom Swift and His Electric Runabout; Or, The Speediest Car on the Road,Victor Appleton,Unknown Date,English,Produced by Anthony Matonac
01951,Tom Swift and His Sky Racer; Or, The Quickest Flight on Record,Victor Appleton,Unknown Date,English,Produced by Anthony Matonac.
01952,Tom Swift and His Air Glider; Or, Seeking the Platinum Treasure,Victor Appleton,Unknown Date,English,Produced by Anthony Matonac.
01953,Tom Swift and His Big Tunnel; Or, The Hidden City of the Andes,Victor Appleton,Unknown Date,English,Produced by Anthony Matonac.
01954,Tom Swift and His War Tank; Or, Doing His Bit for Uncle Sam,Victor Appleton,Unknown Date,English,Produced by Anthony Matonac,
01955,The Patchwork Girl of Oz,L. Frank Baum,Unknown Date,English,Produced by Anthony Matonac and Paul Selkirk
01956,Tik-Tok of Oz,L. Frank Baum,Unknown Date,English,Produced by Anthony Matonac and Paul Selkirk.
01957,The Scarecrow of Oz,L. Frank Baum,Unknown Date,English,Produced by Anthony Matonac.
01958,Rinkitink in Oz,L. Frank Baum,Unknown Date,English,Produced by Anthony Matonac
